
ID,NAME,DESIGINATION,SALARY
1,Gynathi,Opthamologist,20000.0
2,PraneethReddy,Pathologist,30000.0
3,Chandraobulreddy,Pediatrician,300000.0
4,Jayasree,DTDC_Officer,500000.0
5,Mohan,Vice_Chairman,600000.0
6,Priyanka,Software_Engineer,700000.0
7,Pravallika,CFO,400000.0
8,Sony,Business_Analyst,500000.0
9,Gayathri,Oncologist,40000.0
10,Manvitha,Physcian,100000.0
11,Akhila,Conductor,80000.0
12,Subha,Veternatery_Doctor,400000.0
13,Anand,Driver,90000.0
14,Harsha,WatchMan,30000.0
15,saikumar,TL,70000.0
16,Chandra,Railway_Manager,90000.0
17,Shekar,Station_Master,30000.0
18,Ajay,TC,60000.0
19,Shankar,Doctor,100000.0
20,JayaChandra,Cardiologist,200000.0
21,Ramchandra,Dermatologist,100000.0
22,UshaRani,Ganstroenterologist,300000.0
23,Mamatha,Hematologist,100000.0
24,RaviChandra,Nephrologist,300000.0
25,Chandana,Neurologist,400000.0
26,Ankhitha,Oncologist,500000.0
27,Nagireddy,Ophthamologist,600000.0
28,Nandha,Otolarynlogist,300000.0
29,Rupasree,Pediatrician,500000.0
30,Psychiatrist,400000.0,60000.0
31,Krishana,Pulmonologist,600000.0
32,Radha,Rheumatologist,700000.0
33,Revathi,Urologist,400000.0
34,Lalitha,General_Surgeon,70000.0
35,Manasa,Cardiothoracic_Surgeon,500000.0
36,Surya,Neuro_Surgeon,400000.0
37,TejaSree,Plastic_Surgeon,600000.0
38,Kamala,Vascular_surgeon,700000.0
39,Keerthi,Orthopedic_Surgeon,800000.0
40,Jyshona,Anesthesiologist,50000.0
41,Swathi,Radiologist,600000.0
42,Jayasree,Pathologist,600000.0
43,Udaysree,Gynecologist,700000.0
44,Susmitha,Allergist,40000.0
45,sreeram,Immunologist,60000.0
46,ReddyBasha,Doctor,50000.0
47,Rajesh,Bank_Manager,700000.0
48,Bashitha,Developer,60000.0
49,Pavika,Testing_Engineer,70000.0
50,Bhuvika,Manager,80000.0
51,Sravani,Team_Lead,70000.0
52,Raghu,HR,100000.0
53,Srinath,Traffic_police,70000.0
54,Anitha,SI,80000.0
55,Likhitha,CI,100000.0
56,Harini,Product_Manager,50000.0
57,Nithin,CFO,100000.0
58,Nived,Supervisor,50000.0
59,Raghava,Associate,60000.0
60,Eshrath,Executive,30000.0
61,Ramana,Director,50000.0
62,Ravindra,Governor,100000.0
63,Sharama,clerk,20000.0
64,Aruna,Teacher,50000.0
65,Ayesha,Officer,40000.0
66,Suchitra,Asha_worker,15000.0
67,Deepika,Lecturer,60000.0
68,Pranavi,Principal,200000.0
69,Sunitha,Professor,80000.0
70,Amarnath,Researcher,200000.0
71,Mahindra,Teacher,56000.0
72,Roohi,Therapist,45000.0
73,Thasmiya,captain,200000.0
74,Pallavi,Technician,60000.0
75,ShivaKumar,Architect,300000.0
76,Srikanth,Scientist,600000.0
77,Abid,Analyst,70000.0
78,Afraid,COO,400000.0
79,JaganMohanReddy,Cheif_Minister,3000000.0
80,NarendraModi,Prime_Minister,9.0E7
81,VenkataPrasad,MLA,100000.0
82,MP,200000.0,300000.0
83,KethiReddy,EX_MLA,50000.0
84,RevanthReddy,CM,600000.0
85,Virat,Crickter,600000.0
86,Kholi,Actor,400000.0
87,Mukesh,Business,800000.0
88,Nani,Bank_Manager,60000.0
89,Prasad,MPDO,80000.0
90,Neeha,FA,25000.0
91,Giri,VRA,12000.0
92,Vamika,TA,25000.0
93,RamCharan,Actor,400000.0
94,Anusuya,Anchor,40000.0
95,Savithri,Teacher,35000.0
96,Hanumanth,Trainer,200000.0
97,Klinkara,SoftWare_Developer,70000.0
98,Prashanth,Police,60000.0
99,Samantha,Actress,500000.0
100,Navya,Doctor,300000.0
101,Shyamala,Collector,300000.0
103,Ramesh,CI,100000.0
104,Mahesh,DG,400000.0
105,Rajesh,IG,500000.0
106,Raju,Doctor,200000.0
107,Eshrath,Teacher,30000.0
108,Gayani,Conductor,50000.0
109,Ankhitha,Urologist,70000.0
110,Ganesh,Driver,60000.0
111,Lokesh,Developer,40000.0
112,Sasidhar,Tester,30000.0
113,Gowthami,BA,60000.0
114,Roohi,System_Analyst,70000.0
115,Thasmiya,HR,50000.0
116,Mahindra,Team_Lead,60000.0
117,Hanumanth,Manager,100000.0
118,Revathi,Bank_Manager,70000.0
119,Arshiya,TC,80000.0
120,Yaseen,Station_Master,40000.0
121,Yasmeen,Nurse,25000.0
122,Krishana,Supervisor,90000.0
123,Satya,Doctor,200000.0
124,Madhan,HOD,70000.0
125,MohanReddy,Lab_Incharge,30000.0
126,RamanaReddy,Principal,200000.0
127,Sunitha,Head_Master,100000.0
128,RamPrakash,Orthopedic,80000.0
129,Sreedhar,Dentist,70000.0
130,GangiReddy,Agriculture_Officer,80000.0
131,Rakesh,Accountant,30000.0
132,Shanmuk,Governer,200000.0
133,Mahanth,Asha_Worker,25000.0
134,Pravalika,Casher,35000.0
135,Sudher,Railway_Manager,60000.0
136,Kushitha,Health_Minister,200000.0
137,Sai,Education_Minister,300000.0
138,Rithika,Sports_Manager,70000.0
